id,date,price,bedrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3100578,28/5/2014,310000.0,3BHK,1430 sqft,19901 sqft,1.5,0,good,average,1430,0,1927,1869,98028,47.7558,-122.229,1780 sqft,12697 sqft
4000568,10/7/2014,400000.0,3BHK,1370 sqft,9680 sqft,1.0,0,good,average,1370,0,1977,1869,98074,47.6127,-122.045,1370 sqft,10208 sqft
5300992,3/12/2015,530000.0,5BHK,1810 sqft,4850 sqft,1.5,0,average,average,1810,0,1900,1869,98107,47.67,-122.394,1360 sqft,4850 sqft
3950040,7/31/2014,395000.0,3BHK,1890 sqft,14040 sqft,2.0,0,average,average,1890,0,1994,1869,98019,47.7277,-121.962,1890 sqft,14018 sqft
4850534,5/29/2014,485000.0,4BHK,1600 sqft,4300 sqft,1.5,0,good,average,1600,0,1916,1869,98103,47.6648,-122.343,1610 sqft,4300 sqft
2300099,4/24/2015,230000.0,3BHK,1250 sqft,9774 sqft,1.0,0,good,average,1250,0,1969,1869,98003,47.3343,-122.306,1280 sqft,8850 sqft
20000376,26/8/2014,2000000.0,3BHK,283.34499999999997 sqm,4168.1443 sqm,1.0,0,average,good,2330,720,1968,1869,98040,47.5316,-122.233,381.81899999999996 sqm,1889.2143999999998 sqm
2850280,7/3/2014,285000.0,5BHK,2270 sqft,6300 sqft,2.0,0,average,average,2270,0,1995,1869,98092,47.3266,-122.169,2240 sqft,7005 sqft
2527162,5/16/2014,252700.0,2BHK,99.40299999999999 sqm,895.8347 sqm,1.0,0,average,average,1070,0,1985,1869,98030,47.3533,-122.166,113.338 sqm,779.0594 sqm
3290964,20/11/2014,329000.0,3BHK,2450 sqft,6500 sqft,2.0,0,good,average,2450,0,1985,1869,98030,47.3739,-122.172,2200 sqft,6865 sqft
2330610,11/3/2014,233000.0,3BHK,1710 sqft,4697 sqft,1.5,0,very good,average,1710,0,1941,1869,98002,47.3048,-122.218,1030 sqft,4705 sqft
9370298,6/26/2014,937000.0,3BHK,2450 sqft,2691 sqft,2.0,0,average,average,1750,700,1915,1869,98119,47.6386,-122.36,1760 sqft,3573 sqft
6670590,12/1/2014,667000.0,3BHK,1400 sqft,1581 sqft,1.5,0,very good,average,1400,0,1909,1869,98112,47.6221,-122.314,1860 sqft,3861 sqft
7190868,3/2/2015,719000.0,4BHK,2570 sqft,7173 sqft,2.0,0,average,average,2570,0,2005,1869,98052,47.7073,-122.11,2630 sqft,6026 sqft
5805317,11/10/2014,580500.0,3BHK,215.528 sqm,369.74199999999996 sqm,2.0,0,average,average,2320,0,2003,1869,98027,47.5391,-122.07,239.682 sqm,369.74199999999996 sqm
6875706,6/24/2014,687500.0,4BHK,216.457 sqm,464.5 sqm,1.5,0,good,average,1510,820,1929,1869,98117,47.6823,-122.368,135.634 sqm,464.5 sqm
3225966,12/3/2014,322500.0,4BHK,2060 sqft,6659 sqft,1.0,0,average,average,1280,780,1981,1869,98058,47.4276,-122.157,2020 sqft,8720 sqft
6960643,6/13/2014,696000.0,3BHK,2300 sqft,3060 sqft,1.5,0,average,average,1510,790,1930,2002,98115,47.6827,-122.31,1590 sqft,3264 sqft
5500096,5/28/2014,550000.0,4BHK,1660 sqft,34848 sqft,1.0,0,very poor,poor,930,730,1933,1869,98052,47.6621,-122.132,2160 sqft,11467 sqft
6400510,12/30/2014,640000.0,4BHK,2360 sqft,6000 sqft,2.0,0,good,average,2360,0,1904,1869,98107,47.6702,-122.362,1730 sqft,4700 sqft
6250845,7/15/2014,625000.0,4BHK,238.753 sqm,512.808 sqm,2.0,0,average,good,2570,0,2000,1869,98074,47.6145,-122.027,229.463 sqm,526.6501 sqm
7750319,8/11/2014,775000.0,4BHK,4220 sqft,24186 sqft,1.0,0,average,average,2600,1620,1984,1869,98166,47.445,-122.347,2410 sqft,30617 sqft
6850064,10/28/2014,685000.0,3BHK,1570 sqft,2280 sqft,2.0,0,average,average,1570,0,1922,1869,98119,47.6413,-122.364,1580 sqft,2640 sqft
3090531,7/29/2014,309000.0,3BHK,1280 sqft,9656 sqft,1.0,0,good,average,920,360,1959,1869,98058,47.4485,-122.175,1340 sqft,8808 sqft
2105882,3/25/2015,210490.0,3BHK,990 sqft,8528 sqft,1.0,0,average,average,990,0,1966,1869,98023,47.3066,-122.371,1228 sqft,8840 sqft
7850717,7/16/2014,785000.0,4BHK,2290 sqft,13416 sqft,2.0,0,good,good,2290,0,1981,1869,98007,47.6194,-122.151,2680 sqft,13685 sqft
4500403,4/28/2015,450000.0,3BHK,116.125 sqm,553.9626999999999 sqm,1.0,0,good,average,1250,0,1953,1869,98115,47.6796,-122.301,90.113 sqm,473.78999999999996 sqm
13500392,3/11/2015,1350000.0,3BHK,2753 sqft,65005 sqft,1.0,1,very good,good,2165,588,1953,1869,98070,47.4041,-122.451,2680 sqft,72513 sqft
2280108,16/9/2014,228000.0,3BHK,1190 sqft,9199 sqft,1.0,0,average,average,1190,0,1955,1869,98148,47.4258,-122.322,1190 sqft,9364 sqft
3450159,2/17/2015,345000.0,5BHK,3150 sqft,9134 sqft,1.0,0,good,average,1640,1510,1966,1869,98056,47.4934,-122.189,1990 sqft,9133 sqft
6000529,12/31/2014,600000.0,3BHK,1410 sqft,4080 sqft,1.0,0,good,average,1000,410,1950,1869,98117,47.6808,-122.384,1410 sqft,4080 sqft
8850632,12/5/2014,885000.0,4BHK,2830 sqft,5000 sqft,2.0,0,average,good,2830,0,1995,1869,98105,47.6597,-122.29,1950 sqft,5000 sqft
2925484,8/19/2014,292500.0,4BHK,209.025 sqm,417.58549999999997 sqm,2.0,0,average,average,2250,0,2008,1869,98042,47.3663,-122.114,209.025 sqm,418.05 sqm
9510934,8/27/2014,951000.0,5BHK,3250 sqft,14342 sqft,2.0,0,good,average,3250,0,1968,1869,98008,47.588,-122.116,2960 sqft,11044 sqft
4300091,2/23/2015,430000.0,4BHK,1850 sqft,9976 sqft,2.0,0,average,average,1850,0,1991,1869,98059,47.5059,-122.149,2270 sqft,8542 sqft
6500734,12/10/2014,650000.0,3BHK,2150 sqft,21235 sqft,1.0,0,good,average,1590,560,1959,1869,98166,47.4336,-122.339,2570 sqft,18900 sqft
5050473,10/21/2014,505000.0,3BHK,2519 sqft,8690 sqft,2.0,0,very good,average,2519,0,1973,1869,98166,47.4428,-122.344,2500 sqft,9500 sqft
5490349,12/7/2014,549000.0,3BHK,1540 sqft,1044 sqft,3.0,0,average,average,1540,0,2014,1869,98115,47.6765,-122.32,1580 sqft,3090 sqft
4250298,6/3/2014,425000.0,3BHK,1660 sqft,6000 sqft,1.0,0,average,average,1110,550,1979,1869,98122,47.6113,-122.297,1440 sqft,4080 sqft
3176830,20/11/2014,317625.0,3BHK,2770 sqft,3809 sqft,1.5,0,very good,average,1770,1000,1925,1869,98144,47.5747,-122.304,1440 sqft,4000 sqft
9750987,9/9/2014,975000.0,4BHK,2720 sqft,11049 sqft,2.0,0,average,good,2720,0,1989,1869,98004,47.5815,-122.192,2750 sqft,11049 sqft
2870414,10/9/2014,287000.0,4BHK,2240 sqft,4648 sqft,2.0,0,average,average,2240,0,2005,1869,98001,47.3378,-122.257,2221 sqft,4557 sqft
2040673,8/25/2014,204000.0,3BHK,1000 sqft,12070 sqft,1.0,0,good,average,1000,0,1968,1869,98042,47.3621,-122.11,1010 sqft,12635 sqft
10400391,9/12/2014,1040000.0,5BHK,4770 sqft,50094 sqft,1.0,0,good,good,3070,1700,1973,1869,98005,47.6525,-122.16,3530 sqft,38917 sqft
3250054,1/5/2015,325000.0,3BHK,117.054 sqm,521.3548 sqm,1.0,0,good,average,1260,0,1972,1869,98034,47.7362,-122.179,152.356 sqm,440.8105 sqm
3600252,7/10/2014,360000.0,4BHK,2380 sqft,5000 sqft,2.0,0,average,average,2380,0,2005,1869,98038,47.3608,-122.036,2420 sqft,5000 sqft
3490730,3/16/2015,349000.0,3BHK,1790 sqft,50529 sqft,1.0,0,very good,average,1090,700,1965,1869,98042,47.3511,-122.073,1940 sqft,50529 sqft
8325075,11/5/2014,832500.0,4BHK,3430 sqft,35102 sqft,2.0,0,good,good,2390,1040,1986,1869,98075,47.5822,-121.987,3240 sqft,35020 sqft
4800278,4/20/2015,480000.0,3BHK,1040 sqft,5060 sqft,1.0,0,average,average,1040,0,1941,1869,98116,47.5636,-122.394,890 sqft,5060 sqft
4100042,6/9/2014,410000.0,3BHK,1410 sqft,5060 sqft,1.0,0,good,average,910,500,1956,1869,98133,47.7073,-122.34,1130 sqft,5693 sqft
7200777,23/3/2015,720000.0,4BHK,3450 sqft,39683 sqft,2.0,0,average,good,3450,0,2002,1869,98010,47.342,-122.025,3350 sqft,39750 sqft
3600240,12/22/2014,360000.0,4BHK,1900 sqft,5889 sqft,2.0,0,average,average,1900,0,1992,1869,98038,47.349,-122.031,1870 sqft,6405 sqft
3550365,10/28/2014,355000.0,2BHK,187.658 sqm,624.288 sqm,1.0,0,average,average,1010,1010,1948,1869,98118,47.5474,-122.291,159.78799999999998 sqm,624.288 sqm
3560529,28/1/2015,356000.0,3BHK,156.072 sqm,809.3448 sqm,1.0,0,average,average,1680,0,1964,1869,98059,47.4811,-122.149,171.86499999999998 sqm,817.2413 sqm
3150326,2/6/2014,315000.0,3BHK,960 sqft,6634 sqft,1.0,0,average,average,960,0,1952,1869,98125,47.7264,-122.31,1570 sqft,7203 sqft
9400201,11/14/2014,940000.0,3BHK,2140 sqft,3600 sqft,2.0,0,average,good,1900,240,1925,1869,98119,47.6337,-122.365,2020 sqft,4800 sqft
3050497,11/3/2014,305000.0,5BHK,2660 sqft,8400 sqft,1.5,0,very good,average,2660,0,1961,1869,98092,47.2909,-122.189,1590 sqft,8165 sqft
4610272,18/6/2014,461000.0,3BHK,2770 sqft,6278 sqft,2.0,0,average,good,1980,790,2006,1869,98056,47.5228,-122.199,1900 sqft,7349 sqft
2150058,5/19/2014,215000.0,2BHK,1610 sqft,2040 sqft,2.0,0,good,average,1610,0,1979,1869,98056,47.518,-122.194,1950 sqft,2025 sqft
2435831,5/22/2014,243500.0,4BHK,1980 sqft,7403 sqft,2.0,0,average,average,1980,0,1988,1869,98023,47.2897,-122.372,1980 sqft,7510 sqft
11000909,3/11/2015,1100000.0,5BHK,327.008 sqm,590.1936999999999 sqm,2.0,0,good,good,3520,0,2001,1869,98199,47.6506,-122.391,234.108 sqm,580.625 sqm
1530368,2/26/2015,153000.0,3BHK,1200 sqft,10500 sqft,1.0,0,average,average,1200,0,1962,1869,98023,47.322,-122.351,1350 sqft,10500 sqft
4300070,7/25/2014,430000.0,3BHK,1580 sqft,5000 sqft,1.0,0,average,average,1290,290,1939,1869,98117,47.687,-122.386,1570 sqft,4500 sqft
9050973,9/8/2014,905000.0,4BHK,3300 sqft,10250 sqft,1.0,0,average,average,2390,910,1946,1991,98040,47.5873,-122.249,1950 sqft,6045 sqft
2475431,3/30/2015,247500.0,3BHK,1960 sqft,15681 sqft,1.0,0,average,average,1960,0,1967,1869,98032,47.3576,-122.277,1750 sqft,15616 sqft
1990574,9/12/2014,199000.0,4BHK,1160 sqft,6400 sqft,1.0,0,good,average,1160,0,1975,1869,98023,47.3036,-122.378,1160 sqft,6400 sqft
3140572,11/7/2014,314000.0,3BHK,168.149 sqm,3883.22 sqm,1.0,0,very good,average,1210,600,1980,1869,98038,47.4109,-121.958,153.285 sqm,12544.8444 sqm
4375050,5/16/2014,437500.0,3BHK,2320 sqft,36847 sqft,2.0,0,average,good,2320,0,1992,1869,98045,47.4838,-121.714,2550 sqft,35065 sqft
5550247,10/27/2014,555000.0,3BHK,183.94199999999998 sqm,323.1062 sqm,1.5,0,good,average,1440,540,1929,1869,98117,47.6775,-122.372,149.569 sqm,323.1062 sqm
7000426,12/12/2014,699950.0,3BHK,203.451 sqm,9995.3897 sqm,2.0,0,good,average,2190,0,1983,1869,98077,47.7731,-122.08,238.753 sqm,4438.4833 sqm
10900601,7/10/2014,1090000.0,3BHK,2920 sqft,8113 sqft,2.0,0,average,average,2920,0,1950,2010,98004,47.5814,-122.196,2370 sqft,8113 sqft
2900109,9/24/2014,290000.0,3BHK,1210 sqft,33919 sqft,1.0,0,average,average,1210,0,1954,1869,98058,47.4375,-122.184,1640 sqft,14910 sqft
3750486,4/2/2015,375000.0,3BHK,2340 sqft,10005 sqft,1.0,0,good,average,1460,880,1978,1869,98058,47.4431,-122.133,2250 sqft,8162 sqft
1885912,7/23/2014,188500.0,2BHK,1240 sqft,2493 sqft,1.0,0,good,average,1240,0,1985,1869,98198,47.3813,-122.322,1270 sqft,4966 sqft
6800186,3/5/2015,680000.0,4BHK,3140 sqft,28037 sqft,2.0,0,good,good,3140,0,1991,1869,98077,47.7304,-122.082,2990 sqft,35001 sqft
4700797,8/27/2014,470000.0,5BHK,2030 sqft,12342 sqft,2.0,0,good,average,2030,0,1942,1869,98052,47.6417,-122.109,2500 sqft,9433 sqft
5977512,7/25/2014,597750.0,4BHK,2310 sqft,9624 sqft,2.0,0,average,average,2310,0,1984,1869,98027,47.5386,-122.053,1940 sqft,9636 sqft
5700398,3/4/2015,570000.0,3BHK,1260 sqft,3328 sqft,1.0,0,very good,average,700,560,1905,1869,98103,47.6823,-122.349,1380 sqft,3536 sqft
2725740,9/16/2014,272500.0,3BHK,1540 sqft,12600 sqft,1.0,0,good,average,1160,380,1980,1869,98038,47.3624,-122.031,1540 sqft,11656 sqft
3300137,11/24/2014,329950.0,3BHK,2080 sqft,5969 sqft,1.0,0,average,average,1080,1000,1971,1869,98108,47.5474,-122.295,2090 sqft,5500 sqft
4800008,10/28/2014,480000.0,4BHK,3230 sqft,16171 sqft,2.0,0,average,good,2520,710,2001,1869,98001,47.3183,-122.253,2640 sqft,8517 sqft
5185150,6/26/2014,518500.0,3BHK,1590 sqft,1102 sqft,3.0,0,average,average,1590,0,2010,1869,98103,47.6824,-122.347,1620 sqft,3166 sqft
5350273,5/11/2015,535000.0,4BHK,1610 sqft,2982 sqft,1.5,0,good,average,1610,0,1925,1869,98144,47.587,-122.294,1610 sqft,4040 sqft
6600099,1/2/2015,660000.0,3BHK,2400 sqft,6474 sqft,1.0,0,average,average,1560,840,1964,1869,98177,47.7728,-122.386,2340 sqft,10856 sqft
3915860,11/19/2014,391500.0,3BHK,1450 sqft,9132 sqft,1.0,0,average,average,1450,0,1987,1869,98034,47.7288,-122.226,1580 sqft,9104 sqft
3950708,4/6/2015,395000.0,2BHK,770 sqft,6000 sqft,1.0,0,average,average,770,0,1953,1869,98117,47.6999,-122.364,1710 sqft,6000 sqft
4450464,4/11/2014,445000.0,4BHK,195.09 sqm,408.76 sqm,1.5,0,very good,average,1720,380,1924,1869,98118,47.5299,-122.266,171.86499999999998 sqm,408.76 sqm
14500286,3/2/2015,1450000.0,4BHK,2750 sqft,17789 sqft,1.5,0,average,average,1980,770,1914,1992,98004,47.6141,-122.212,3060 sqft,11275 sqft
4450581,17/7/2014,445000.0,3BHK,2100 sqft,8201 sqft,1.0,0,average,average,1620,480,1967,1869,98178,47.5091,-122.244,2660 sqft,8712 sqft
2600627,7/17/2014,260000.0,4BHK,2160 sqft,8811 sqft,1.0,0,average,average,1360,800,1978,1869,98023,47.3129,-122.39,2090 sqft,8400 sqft
8225430,6/13/2014,822500.0,5BHK,2320 sqft,4960 sqft,2.0,0,very good,average,1720,600,1926,1869,98103,47.6763,-122.352,1700 sqft,4960 sqft
4300169,4/6/2015,430000.0,4BHK,2070 sqft,4310 sqft,2.0,0,average,average,2070,0,2004,1869,98065,47.5319,-121.85,1970 sqft,3748 sqft
2120561,1/5/2015,212000.0,3BHK,1060 sqft,7875 sqft,1.0,0,good,average,1060,0,1986,1869,98092,47.2761,-122.152,1420 sqft,7680 sqft
6605174,4/28/2015,660500.0,4BHK,2010 sqft,9603 sqft,1.0,0,average,average,1440,570,1986,1869,98027,47.5343,-122.054,2060 sqft,9793 sqft
7840126,12/6/2014,784000.0,3BHK,3950 sqft,111078 sqft,1.5,0,average,good,2460,1490,1989,1869,98052,47.697,-122.072,2480 sqft,88500 sqft
4533383,5/12/2014,453246.0,3BHK,2010 sqft,2287 sqft,2.0,0,average,average,1390,620,2014,1869,98029,47.5517,-121.998,1690 sqft,1662 sqft
6750764,1/26/2015,675000.0,4BHK,2140 sqft,2278 sqft,3.0,0,average,good,2140,0,2005,1869,98107,47.6734,-122.38,1540 sqft,2285 sqft
1990206,8/13/2014,199000.0,3BHK,1320 sqft,17390 sqft,1.0,0,good,average,1320,0,1956,1869,98003,47.3257,-122.296,1550 sqft,19265 sqft
4520013,5/29/2014,452000.0,4BHK,2590 sqft,10002 sqft,1.0,0,good,average,1340,1250,1968,1869,98028,47.7689,-122.266,1550 sqft,10436 sqft
5200471,5/7/2014,519950.0,3BHK,1170 sqft,1249 sqft,3.0,0,average,average,1170,0,2014,1869,98107,47.6722,-122.381,1350 sqft,1310 sqft
6650446,6/27/2014,665000.0,2BHK,1110 sqft,3200 sqft,1.0,0,average,average,1110,0,1925,1869,98119,47.6338,-122.358,1170 sqft,3600 sqft
5277274,7/8/2014,527700.0,5BHK,261.978 sqm,870.9375 sqm,1.0,0,good,average,1550,1270,1968,1869,98006,47.5707,-122.128,261.978 sqm,870.9375 sqm
2050311,5/8/2015,205000.0,3BHK,1610 sqft,8579 sqft,1.0,0,good,average,1010,600,1962,1869,98058,47.4563,-122.171,1610 sqft,8579 sqft
5000720,27/2/2015,500000.0,4BHK,188.587 sqm,791.2293 sqm,1.0,0,good,average,1380,650,1961,1869,98006,47.5495,-122.174,207.167 sqm,819.7496 sqm
9215738,12/3/2014,921500.0,4BHK,3670 sqft,315374 sqft,2.0,0,good,good,3670,0,1994,1869,98077,47.7421,-122.026,2840 sqft,87991 sqft
8900127,6/25/2014,890000.0,4BHK,2550 sqft,4000 sqft,2.0,0,average,average,2370,180,1905,1869,98109,47.6354,-122.353,2200 sqft,4000 sqft
2580657,30/10/2014,258000.0,5BHK,2260 sqft,12500 sqft,1.0,0,good,average,1130,1130,1960,1869,98032,47.3887,-122.286,1360 sqft,18000 sqft
5110470,11/4/2014,511000.0,3BHK,132.847 sqm,320.9695 sqm,1.0,0,average,average,980,450,1947,1869,98103,47.6873,-122.336,134.70499999999998 sqm,427.2471 sqm
5322252,8/20/2014,532170.0,3BHK,1360 sqft,3090 sqft,2.0,0,average,average,1360,0,1990,1869,98103,47.6838,-122.353,1500 sqft,3090 sqft
2829551,31/3/2015,282950.0,3BHK,1250 sqft,8200 sqft,1.0,0,good,average,1250,0,1954,1869,98003,47.3255,-122.304,1680 sqft,8633 sqft
22500534,4/1/2015,2250000.0,4BHK,5180 sqft,19850 sqft,2.0,0,average,best,3540,1640,2006,1869,98006,47.562,-122.162,3160 sqft,9750 sqft
2150741,28/7/2014,215000.0,3BHK,1180 sqft,7669 sqft,1.0,0,good,average,1180,0,1967,1869,98058,47.4479,-122.176,1190 sqft,7669 sqft
6500908,11/20/2014,650000.0,5BHK,3960 sqft,25245 sqft,2.0,0,average,good,2500,1460,1996,1869,98056,47.525,-122.172,2640 sqft,13675 sqft
2470403,11/13/2014,247000.0,3BHK,1270 sqft,7198 sqft,1.5,0,average,average,1270,0,1916,2013,98022,47.2086,-121.996,1160 sqft,7198 sqft
2550663,7/5/2014,255000.0,5BHK,2060 sqft,8632 sqft,1.0,0,average,average,1030,1030,1962,1869,98146,47.4877,-122.335,1010 sqft,11680 sqft
4410771,20/6/2014,441000.0,3BHK,1910 sqft,7280 sqft,1.0,0,average,average,1160,750,1979,1869,98034,47.7319,-122.224,1710 sqft,8152 sqft
4200293,8/12/2014,420000.0,3BHK,187.658 sqm,3561.0427999999997 sqm,1.0,0,good,average,1010,1010,1975,1869,98027,47.4582,-122.023,196.019 sqm,3399.211 sqm
3700514,12/8/2014,370000.0,3BHK,146.78199999999998 sqm,650.3 sqm,1.0,0,average,average,1180,400,1976,1869,98034,47.7209,-122.168,152.356 sqm,696.75 sqm
2699923,2/19/2015,269950.0,2BHK,1340 sqft,7250 sqft,1.0,0,very good,poor,700,640,1949,1869,98198,47.408,-122.327,1830 sqft,9750 sqft
8071467,24/3/2015,807100.0,4BHK,2680 sqft,4499 sqft,2.0,0,average,good,2680,0,1999,1869,98006,47.565,-122.125,2920 sqft,4500 sqft
6530110,6/5/2014,653000.0,3BHK,2680 sqft,9750 sqft,1.0,0,good,average,1610,1070,1979,1869,98034,47.7028,-122.231,2480 sqft,8750 sqft
2840357,3/16/2015,284000.0,3BHK,1560 sqft,21000 sqft,1.0,0,average,average,1560,0,1954,1869,98166,47.4776,-122.337,1070 sqft,7920 sqft
2720821,1/2/2015,272000.0,3BHK,200.664 sqm,663.3059999999999 sqm,1.0,0,good,average,1670,490,1978,1869,98023,47.3026,-122.374,179.297 sqm,682.8149999999999 sqm
3130065,2/5/2014,313000.0,3BHK,1340 sqft,7912 sqft,1.5,0,average,average,1340,0,1955,1869,98133,47.7658,-122.339,1480 sqft,7940 sqft
9175794,16/1/2015,917500.0,4BHK,3880 sqft,35003 sqft,2.0,0,average,good,2570,1310,1984,1869,98033,47.6477,-122.182,3740 sqft,35230 sqft
6730614,9/29/2014,673000.0,4BHK,2590 sqft,8190 sqft,2.0,0,good,average,2590,0,1980,1869,98006,47.5619,-122.125,2260 sqft,8335 sqft
3999545,9/7/2014,399950.0,5BHK,1970 sqft,5400 sqft,1.0,0,average,average,1320,650,1986,1869,98144,47.5868,-122.308,1280 sqft,2150 sqft
3850481,5/30/2014,385000.0,3BHK,1220 sqft,4800 sqft,1.0,0,average,average,1220,0,1901,1869,98122,47.6101,-122.307,1200 sqft,4800 sqft
2699845,11/17/2014,269950.0,3BHK,1950 sqft,7560 sqft,1.0,0,good,average,1320,630,1975,1869,98022,47.1976,-121.999,1950 sqft,8941 sqft
3300499,7/1/2015,330000.0,2BHK,1350 sqft,8220 sqft,1.0,0,average,average,1060,290,1949,1869,98177,47.7224,-122.358,1540 sqft,8280 sqft
2600564,7/25/2014,260000.0,3BHK,155.143 sqm,538.5413 sqm,2.0,0,average,average,1670,0,1988,1869,98030,47.3505,-122.179,155.143 sqm,574.4007 sqm
1635668,7/23/2014,163500.0,2BHK,1050 sqft,3419 sqft,2.0,0,average,average,1050,0,1996,1869,98038,47.3848,-122.039,1050 sqft,3417 sqft
8350019,9/5/2014,835000.0,4BHK,3130 sqft,13412 sqft,2.0,0,average,good,2140,990,1993,1869,98052,47.6993,-122.102,2260 sqft,9984 sqft
11000165,11/21/2014,1100000.0,5BHK,4090 sqft,12850 sqft,1.0,0,good,good,2090,2000,1986,1869,98033,47.6627,-122.188,2540 sqft,10270 sqft
2690255,4/15/2015,269000.0,4BHK,1490 sqft,10000 sqft,1.0,0,good,average,1100,390,1969,1869,98023,47.3099,-122.379,2190 sqft,8910 sqft
5600203,5/5/2014,560000.0,3BHK,176.51 sqm,812.3176 sqm,2.0,0,average,average,1900,0,1987,1869,98074,47.62,-122.043,188.587 sqm,812.3176 sqm
5852808,12/5/2014,585188.0,3BHK,2230 sqft,10026 sqft,1.0,0,average,average,1430,800,1975,1869,98052,47.6647,-122.153,2230 sqft,9340 sqft
1670350,11/5/2014,166950.0,3BHK,1190 sqft,8820 sqft,1.0,0,average,average,1190,0,1959,1869,98058,47.4616,-122.184,1230 sqft,7980 sqft
7990770,9/12/2014,799000.0,3BHK,2140 sqft,9897 sqft,1.0,0,good,average,2140,0,1959,1869,98040,47.5505,-122.219,2680 sqft,10083 sqft
4000180,6/25/2014,400000.0,3BHK,2180 sqft,7508 sqft,1.0,0,good,average,1420,760,1962,1869,98133,47.7606,-122.336,1900 sqft,7818 sqft
2300137,12/1/2014,230000.0,3BHK,1060 sqft,10228 sqft,1.0,0,average,average,1060,0,1948,1869,98155,47.7481,-122.3,1570 sqft,10228 sqft
2568932,15/5/2014,256883.0,3BHK,1690 sqft,5025 sqft,2.0,0,average,average,1690,0,2003,1869,98023,47.2779,-122.347,2550 sqft,5001 sqft
4230495,11/11/2014,423000.0,4BHK,1970 sqft,6480 sqft,1.5,0,very good,average,1130,840,1920,1869,98108,47.5511,-122.312,1500 sqft,6480 sqft
4650872,7/23/2014,465000.0,3BHK,2150 sqft,4084 sqft,2.0,0,average,average,2150,0,2007,1869,98126,47.5488,-122.372,1750 sqft,2385 sqft
4400748,1/13/2015,440000.0,3BHK,1910 sqft,66211 sqft,2.0,0,average,average,1910,0,1997,1869,98024,47.5385,-121.911,2330 sqft,67268 sqft
3850861,10/14/2014,385000.0,3BHK,1350 sqft,155073 sqft,1.0,0,good,average,1350,0,1969,1869,98038,47.4058,-121.994,1560 sqft,50965 sqft
2100422,11/3/2015,210000.0,3BHK,860 sqft,11725 sqft,1.0,0,good,average,860,0,1943,1869,98056,47.5093,-122.184,1300 sqft,9514 sqft
2970098,11/12/2014,297000.0,3BHK,180.226 sqm,1389.0408 sqm,2.0,0,average,average,1940,0,1994,1869,98042,47.3777,-122.165,188.587 sqm,970.805 sqm
4700146,16/7/2014,470000.0,3BHK,1010 sqft,5000 sqft,1.0,0,average,average,1010,0,1952,1869,98107,47.675,-122.394,1680 sqft,5000 sqft
2265626,8/4/2014,226500.0,3BHK,1300 sqft,7370 sqft,1.0,0,good,average,900,400,1976,1869,98023,47.3025,-122.37,1430 sqft,7500 sqft
8400938,8/4/2014,840000.0,4BHK,230.392 sqm,1022.829 sqm,1.0,0,good,good,1630,850,1966,1869,98040,47.5378,-122.219,257.33299999999997 sqm,998.1175999999999 sqm
6779659,9/19/2014,677900.0,3BHK,2440 sqft,4587 sqft,2.0,0,average,average,2440,0,2010,1869,98052,47.7073,-122.114,2750 sqft,4587 sqft
1803254,11/23/2014,180250.0,2BHK,900 sqft,9600 sqft,1.0,0,average,average,900,0,1941,1869,98166,47.4604,-122.339,1250 sqft,14280 sqft
